Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.05     0.00      500     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::_Vector_impl::~_Vector_impl()
  0.00      1.05     0.00      500     0.00     0.00  std::_Vector_base<Node*, std::allocator<Node*> >::~_Vector_base()
  0.00      1.05     0.00      500     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::~vector()
  0.00      1.05     0.00      406     0.00     0.00  Voiture::setIs_pathfind(bool)
  0.00      1.05     0.00      406     0.00     0.00  Voiture::getTargetPosition()
  0.00      1.05     0.00      368     0.00     0.00  Voiture::MoveUp()
  0.00      1.05     0.00      336     0.00     0.00  Voiture::MoveLeft()
  0.00      1.05     0.00      336     0.00     0.00  Place* std::__niter_base<Place*>(Place*)
  0.00      1.05     0.00      270     0.00     0.00  std::pair<unsigned int, Utilisateur const>* std::__addressof<std::pair<unsigned int, Utilisateur const> >(std::pair<unsigned int, Utilisateur const>&)
  0.00      1.05     0.00      270     0.00     0.00  std::pair<unsigned int, Utilisateur const>&& std::forward<std::pair<unsigned int, Utilisateur const> >(std::remove_reference<std::pair<unsigned int, Utilisateur const> >::type&)
  0.00      1.05     0.00      261     0.00     0.00  std::pair<unsigned int, Utilisateur const>::~pair()
  0.00      1.05     0.00      252     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      1.05     0.00      224     0.00     0.00  __gnu_cxx::__normal_iterator<Place*, std::vector<Place, std::allocator<Place> > >::base() const
  0.00      1.05     0.00      204     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, Utilisateur const>*, std::vector<std::pair<unsigned int, Utilisateur const>, std::allocator<std::pair<unsigned int, Utilisateur const> > > >::__normal_iterator(std::pair<unsigned int, Utilisateur const>* const&)
  0.00      1.05     0.00      180     0.00     0.00  __gnu_cxx::new_allocator<Place>::_M_max_size() const
  0.00      1.05     0.00      177     0.00     0.00  void std::_Destroy<std::pair<unsigned int, Utilisateur const> >(std::pair<unsigned int, Utilisateur const>*)
  0.00      1.05     0.00      168     0.00     0.00  Utilisateur& std::forward<Utilisateur&>(std::remove_reference<Utilisateur&>::type&)
  0.00      1.05     0.00      164     0.00     0.00  std::vector<Utilisateur, std::allocator<Utilisateur> >::size() const
  0.00      1.05     0.00      142     0.00     0.00  std::_Vector_base<Place, std::allocator<Place> >::_M_get_Tp_allocator()
  0.00      1.05     0.00      124     0.00     0.00  std::_Vector_base<Place, std::allocator<Place> >::_M_get_Tp_allocator() const
  0.00      1.05     0.00      118     0.00     0.00  __gnu_cxx::new_allocator<Node*>::new_allocator(__gnu_cxx::new_allocator<Node*> const&)
  0.00      1.05     0.00      118     0.00     0.00  std::allocator<Node*>::allocator(std::allocator<Node*> const&)
  0.00      1.05     0.00      118     0.00     0.00  __gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > std::__miter_base<__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >)
  0.00      1.05     0.00      118     0.00     0.00  Node* const* std::__niter_base<Node* const*, std::vector<Node*, std::allocator<Node*> > >(__gnu_cxx::__normal_iterator<Node* const*, std::vector<Node*, std::allocator<Node*> > >)
  0.00      1.05     0.00      112     0.00     0.00  __gnu_cxx::__normal_iterator<Place*, std::vector<Place, std::allocator<Place> > >::__normal_iterator(Place* const&)
  0.00      1.05     0.00      112     0.00     0.00  __gnu_cxx::new_allocator<Place>::max_size() const
  0.00      1.05     0.00      112     0.00     0.00  std::vector<Place, std::allocator<Place> >::max_size() const
  0.00      1.05     0.00      112     0.00     0.00  std::allocator_traits<std::allocator<Place> >::max_size(std::allocator<Place> const&)
  0.00      1.05     0.00      112     0.00     0.00  std::vector<Utilisateur, std::allocator<Utilisateur> >::operator[](unsigned long)
  0.00      1.05     0.00      112     0.00     0.00  std::vector<Place, std::allocator<Place> >::_S_max_size(std::allocator<Place> const&)
  0.00      1.05     0.00      112     0.00     0.00  std::vector<Place, std::allocator<Place> >::_S_relocate(Place*, Place*, Place*, std::allocator<Place>&)
  0.00      1.05     0.00      112     0.00     0.00  std::vector<Place, std::allocator<Place> >::_S_do_relocate(Place*, Place*, Place*, std::allocator<Place>&, std::integral_constant<bool, true>)
  0.00      1.05     0.00      112     0.00     0.00  Place* std::__relocate_a<Place*, Place*, std::allocator<Place> >(Place*, Place*, Place*, std::allocator<Place>&)
